date,om_precipitation_sum,om_temperature_2m_max,om_temperature_2m_min,om_relative_humidity_2m_max,om_windspeed_10m_max,power_allsky_sfc_sw_dwn,power_gwetroot,power_rh2m,power_t2m,power_t2m_max,power_t2m_min,power_prectotcorr,ndvi_s2,firms_count,firms_frp_mean,park,ecosystem,fire_within_30d,drought_within_30d,vegetation_within_30d
2020-01-01,0.0,30.6,16.2,28,21.3,21.8,0.46,34.55,19.9,28.73,13.0,0.0,,0,,yankari,savanna,1.0,0.0,0.0
2020-01-01,0.0,31.8,18.8,38,19.8,21.67,0.62,59.24,19.24,28.03,11.77,0.0,0.3040298112248911,11,192.7830374753452,kainji_lake,savanna,1.0,0.0,0.0
2020-01-01,0.0,35.0,19.1,61,10.6,18.67,0.75,62.03,26.19,32.37,21.4,0.0,,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-01,0.0,26.2,15.1,35,24.1,21.01,0.25,23.85,19.42,27.1,12.85,0.0,,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-01,0.0,32.6,19.0,30,14.5,21.61,0.68,54.77,20.62,29.78,13.58,0.0,0.4330055008713524,2,173.0,old_oyo,savanna,1.0,0.0,0.0
2020-01-01,0.0,28.6,17.6,44,10.8,21.23,0.59,58.75,21.28,28.97,14.86,0.0,,1,75.0,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-02,0.0,25.5,14.2,26,22.8,20.98,0.46,33.25,17.0,24.79,10.76,0.0,0.2182413263582862,2,80.0,yankari,savanna,1.0,0.0,0.0
2020-01-02,0.0,27.8,17.9,28,17.3,21.2,0.62,53.4,17.55,25.27,11.25,0.0,,0,,kainji_lake,savanna,1.0,0.0,0.0
2020-01-02,0.0,29.8,18.6,31,17.1,21.48,0.68,54.9,19.19,27.2,13.44,0.0,,7,220.0,old_oyo,savanna,1.0,0.0,0.0
2020-01-02,0.0,21.5,10.9,24,20.9,21.18,0.25,21.32,16.82,24.46,10.17,0.0,0.3005564952405683,3,87.66666666666667,chad_basin,sahel,1.0,0.0,0.0
